"","wr_response_priority","wr_dlt_priority","wr_tie_priority"
"doseB",2.53218884120172,1.14882506527415,1.51446945337621
"doseB",1.53508771929825,0.720238095238095,0.910958904109589
"doseB",1.36512261580381,0.439469320066335,0.536312849162011
"doseB",2.344,0.882882882882883,1.45510835913313
"doseB",1.54654654654655,0.533453887884268,0.630927835051546
"doseB",2.06428571428571,0.873362445414847,1.27423822714681
"doseB",2.87264150943396,1.58990536277603,2.06538461538462
"doseB",3.45128205128205,0.491408934707904,1.1830985915493
"doseB",2.07420494699647,0.520979020979021,0.96144578313253
"doseB",0.902222222222222,0.545126353790614,0.62874251497006
"doseB",2.87727272727273,0.706,1.10594315245478
"doseB",2.72173913043478,0.433835845896147,0.634453781512605
"doseB",3.94827586206897,1.20204603580563,1.81052631578947
"doseB",1.92387543252595,0.825053995680346,0.958637469586375
"doseB",6.09917355371901,0.714570858283433,1.79858657243816
"doseB",1.99653979238754,0.959276018099548,1.34844192634561
"doseB",2.07299270072993,0.667326732673267,0.859188544152745
"doseB",1.13300492610837,0.292537313432836,0.453887884267631
"doseB",2.01060070671378,0.619771863117871,0.958536585365854
"doseB",1.82838283828383,0.95662100456621,1.10512820512821
"doseB",2.62660944206009,0.911764705882353,1.26760563380282
"doseB",2.1304347826087,0.75609756097561,1.13947368421053
"doseB",3.96511627906977,0.87280701754386,1.17741935483871
"doseB",2.64935064935065,0.924657534246575,1.1266846361186
"doseB",0.947247706422018,0.754132231404959,0.69601677148847
"doseB",3.30612244897959,1.16410256410256,1.76388888888889
"doseB",2.79464285714286,0.445578231292517,0.904411764705882
"doseB",1.90140845070423,1.12919896640827,1.20385674931129
"doseB",2.1037037037037,0.491103202846975,0.724215246636771
"doseB",1.71571906354515,0.853881278538813,1.21489971346705
"doseB",1.63777089783282,0.704,1.02770780856423
"doseB",1.23157894736842,0.685884691848907,0.814317673378076
"doseB",2.88789237668161,0.696673189823875,1.17204301075269
"doseB",1.05263157894737,0.565693430656934,0.583815028901734
"doseB",2.15298507462687,0.738683127572016,0.847380410022779
"doseB",2.75813953488372,0.799554565701559,1.17052023121387
"doseB",2.81659388646288,0.62152133580705,1.12532637075718
"doseB",2.53781512605042,0.765199161425577,1.15466666666667
"doseB",1.37535014005602,0.288753799392097,0.398230088495575
"doseB",2.66239316239316,0.720883534136546,1.12064343163539
"doseB",2.784140969163,0.778467908902691,1.08785529715762
"doseB",2.22556390977444,0.688976377952756,1.07216494845361
"doseB",1.54328358208955,0.39672131147541,0.701716738197425
"doseB",1.1994750656168,1.01442307692308,1.03544303797468
"doseB",4.56129032258065,1.18781725888325,1.59501557632399
"doseB",3.84444444444444,0.670498084291188,1.42727272727273
"doseB",3.15121951219512,0.874449339207048,1.63333333333333
"doseB",2.07913669064748,0.790794979079498,1.07556675062972
"doseB",1.28608923884514,0.271532846715328,0.524074074074074
"doseB",2.03202846975089,0.408264462809917,0.768018018018018
"doseB",2.80630630630631,0.960556844547564,1.31884057971015
"doseB",1.58358662613982,0.548269581056466,0.84703196347032
"doseB",0.940503432494279,0.720081135902637,0.714893617021277
"doseB",1.36033519553073,0.643968871595331,0.835990888382688
"doseB",1.42735042735043,0.577777777777778,0.771618625277162
"doseB",1.38068181818182,0.841758241758242,0.907317073170732
"doseB",2.28,0.553030303030303,0.902985074626866
"doseB",2.50202429149798,0.395161290322581,0.558365758754864
"doseB",1.7459807073955,0.495621716287215,0.680942184154176
"doseB",2.22137404580153,0.788135593220339,1.09866666666667
"doseB",1.1325,0.830472103004292,0.799559471365639
"doseB",2.82300884955752,0.738430583501006,1.29310344827586
"doseB",2.79475982532751,0.687378640776699,0.933649289099526
"doseB",2.24806201550388,0.922018348623853,1.57755775577558
"doseB",3.23076923076923,0.666666666666667,1.3166144200627
"doseB",1.58912386706949,0.433110367892977,0.717672413793103
"doseB",2.83856502242152,1.13466334164589,1.37752161383285
"doseB",1.19109947643979,0.576271186440678,0.727069351230425
"doseB",3.4234693877551,0.84468085106383,0.987745098039216
"doseB",1.60436137071651,0.774946921443737,0.939467312348668
"doseB",2.963133640553,0.676413255360624,1.02040816326531
"doseB",2.1875,0.829596412556054,0.95360824742268
"doseB",1.63607594936709,0.679435483870968,0.986979166666667
"doseB",4.35802469135802,0.583941605839416,1.24857142857143
"doseB",1.74203821656051,0.771604938271605,1.03258145363409
"doseB",3.07109004739337,0.664728682170543,0.91866028708134
"doseB",1.67721518987342,0.382352941176471,0.575510204081633
"doseB",2.9009009009009,0.508710801393728,0.730769230769231
"doseB",1.33875338753388,0.688845401174168,0.806666666666667
"doseB",2.64529914529915,0.951945080091533,1.05089058524173
"doseB",1.50588235294118,0.595505617977528,0.833333333333333
"doseB",1.42613636363636,0.704590818363273,0.811529933481153
"doseB",2.01086956521739,0.734864300626305,0.948905109489051
"doseB",2.57203389830508,0.699596774193548,0.958230958230958
"doseB",1.92682926829268,0.68,0.864406779661017
"doseB",1.53412462908012,0.82089552238806,0.924705882352941
"doseB",1.55120481927711,1.43390804597701,1.35243553008596
"doseB",1.66123778501629,0.764578833693304,1.14406779661017
"doseB",4.51592356687898,1.00462962962963,2.01532567049808
"doseB",1.89160839160839,1.02696078431373,1.25663716814159
"doseB",1.39118457300275,0.539007092198582,0.604696673189824
"doseB",2.25,0.894618834080718,1.09308510638298
"doseB",1.67391304347826,0.69488188976378,0.718106995884774
"doseB",1.50903614457831,0.53125,0.728476821192053
"doseB",3.99397590361446,0.834070796460177,1.11764705882353
"doseB",3.53723404255319,0.64354527938343,1.02827763496144
"doseB",1.93814432989691,0.748466257668712,0.955882352941177
"doseB",2.08988764044944,0.747881355932203,1.23563218390805
"doseB",1.24863387978142,0.582692307692308,0.709821428571429
"doseB",1.03623188405797,0.608778625954199,0.686974789915966
"doseB",1.57692307692308,0.997706422018349,1.0716049382716
"doseB",1.14249363867684,0.330173775671406,0.659663865546218
"doseB",1.65695792880259,0.713987473903967,0.768149882903981
"doseB",3.11483253588517,0.452702702702703,0.72972972972973
"doseB",1.25613079019074,0.556390977443609,0.59297520661157
"doseB",2.15073529411765,0.789144050104384,0.951338199513382
"doseB",2.4936170212766,0.874429223744292,1.09264305177112
"doseB",1.86333333333333,0.707753479125249,0.985401459854015
"doseB",4.1437125748503,0.684313725490196,1.15890410958904
"doseB",2.16793893129771,1.1227621483376,1.53225806451613
"doseB",2.61802575107296,0.881696428571429,1.31123919308357
"doseB",4.14545454545455,1.03597122302158,2.09486166007905
"doseB",2.57142857142857,0.97215777262181,1.48297213622291
"doseB",2.34496124031008,0.678988326848249,0.938388625592417
"doseB",2.25,0.906666666666667,1.42424242424242
"doseB",0.958715596330275,0.4,0.481751824817518
"doseB",1.13138686131387,0.321266968325792,0.493554327808471
"doseB",2.06569343065693,0.746361746361746,0.934782608695652
"doseB",1.90625,1.18537859007833,1.47204968944099
"doseB",2.15217391304348,0.635338345864662,0.72938689217759
"doseB",1.52802359882006,0.53584229390681,0.592885375494071
"doseB",1.25661375661376,0.603383458646617,0.848758465011287
"doseB",2.36046511627907,0.901315789473684,1.3061797752809
"doseB",1.86505190311419,0.89908256880734,1.54785478547855
"doseB",1.60747663551402,0.535779816513761,0.836492890995261
"doseB",1.06699751861042,0.580645161290323,0.827981651376147
"doseB",2.86425339366516,0.564102564102564,1.1123595505618
"doseB",1.42816091954023,0.771488469601677,0.850678733031674
"doseB",3.61748633879781,1.08128078817734,2.23045267489712
"doseB",1.83783783783784,0.883408071748879,0.963592233009709
"doseB",2.77333333333333,1.03597122302158,1.46483180428135
"doseB",1.96819787985866,0.653543307086614,1.09139784946237
"doseB",3.23671497584541,0.636194029850746,1
"doseB",2.75111111111111,1.29347826086957,1.67540983606557
"doseB",2.93150684931507,0.828025477707006,1.45031055900621
"doseB",2.16412213740458,0.651394422310757,1.19428571428571
"doseB",2.82511210762332,1.11138613861386,1.28412256267409
"doseB",1.26415094339623,0.573033707865168,0.757847533632287
"doseB",3.67403314917127,1.03365384615385,1.75704225352113
"doseB",1.67731629392971,0.745833333333333,1.07774798927614
"doseB",1.39411764705882,1.18230563002681,1.25368731563422
"doseB",1.65483870967742,0.913953488372093,1.05945945945946
"doseB",1.55722891566265,0.648543689320388,0.895238095238095
"doseB",2.04270462633452,0.415562913907285,0.539196940726577
"doseB",3.96428571428571,0.878378378378378,1.17119565217391
"doseB",1.56325301204819,0.776617954070981,1
"doseB",1.78424657534247,0.486288848263254,0.531697341513292
"doseB",1.60747663551402,0.690909090909091,0.796839729119639
"doseB",2.89449541284404,0.965277777777778,1.73378839590444
"doseB",3.84745762711864,0.995348837209302,1.46913580246914
